strdrink,num_ingredients,total_ounces,cost,ounces_alcohol,weighted_abv,oz_alc_per_dollar
Bourbon Sling,5,3.57,2.11271186440678,0.8,0.22408963585434175,0.37866024869634973
Bourbon Sour,5,5.08,2.3927118644067797,0.8,0.15748031496062992,0.3343486576468088
Boxcar,5,3.75,3.2163128259452414,0.9,0.24000000000000002,0.2798235273447008
Brain Fart,6,173.32999999999998,1.9729316999731508,13.15,0.07586684359314604,6.665207923912904
Brainteaser,3,2.19,2.189,0.5844,0.2668493150684932,0.26697121973503884
Bramble,4,2.71,2.4207118644067798,0.7515000000000001,0.27730627306273065,0.3104458696839423
Brandon and Will's Coke Float,3,20.83,1.1964453125,0.8,0.03840614498319732,0.6686473603447712
Brandy Alexander,4,4.0,2.3344640119609164,0.5,0.125,0.2141819267455775
Brandy Cobbler,6,8.17,1.934355029585799,0.7,0.08567931456548347,0.3618777263188806
Brandy Flip,5,3.19,2.660064973499378,0.7,0.21943573667711597,0.2631514669655356
Brandy Sour,5,3.83,1.9140000000000001,0.7,0.18276762402088773,0.36572622779519326
Brave Bull Shooter,2,1.0,1.5383935084650764,0.2,0.2,0.1300057487889096
Brigadier,3,6.0,2.2417578125,0.39,0.065,0.17397062154768336
Broadside,5,6.46,5.4442061994609166,1.129,0.17476780185758514,0.20737642158223052
Brooklyn,5,4.3100000000000005,4.8475,1.0115,0.23468677494199536,0.20866425992779783
Bruised Heart,4,2.0,1.8885566999731507,0.275,0.1375,0.1456138436319702
Bubble Gum,4,1.0,1.8885566999731507,0.1375,0.1375,0.0728069218159851
Buccaneer,2,2.5,0.6,0.6500000000000001,0.26000000000000006,1.0833333333333337
Bumble Bee,3,0.99,2.892,0.231,0.23333333333333334,0.07987551867219918
Butter Baby,4,16.33,0.9093604605663711,0.8,0.04898958971218617,0.8797391515150562
Butterfly Effect,7,4.17,3.0454973044598823,0.6425,0.1540767386091127,0.21096718721737534
Cafe Savoy,4,3.0,1.9057578125,0.425,0.14166666666666666,0.2230083997097611
Caipirinha,3,3.83,1.375,1.075,0.2806788511749347,0.7818181818181817
Caipirissima,4,5.83,1.3780000000000001,1.0,0.17152658662092624,0.7256894049346879
California Lemonade,6,5.54,2.3720610584717488,0.8,0.1444043321299639,0.3372594466499177
California Root Beer,3,2.5,2.182061058471749,0.435,0.174,0.19935280835113806
Campari Beer,2,25.91,1.085,1.3618000000000001,0.05255885758394443,1.255115207373272
Captain Kidd's Punch,6,7.35,4.554519025406158,1.2080000000000002,0.16435374149659868,0.26523108000241025
Caribbean Boilermaker,2,26.9,0.6,1.87,0.06951672862453533,3.116666666666667
Caribbean Orange Liqueur,3,42.17,1.2518448355663712,9.600000000000001,0.22764998814322981,7.668682034109028
Casa Blanca,4,2.75,2.6027118644067797,0.875,0.3181818181818182,0.33618780932534514
Casino,5,3.12,3.9682118644067796,1.022,0.32756410256410257,0.257546732614485
Casino Royale,5,3.69,4.433812825945242,1.0335,0.28008130081300814,0.23309509006611456
Castillian Hot Chocolate,5,49.17,1.6223390119609165,0.0,0.0,0.0
Champagne Cocktail,5,1.6300000000000001,5.1972732037354685,0.08399999999999999,0.05153374233128834,0.01616232141493469
Cherry Electric Lemonade,8,10.0,4.00488717415633,1.85,0.185,0.46193561005616124
Cherry Rum,3,2.0,0.9557578125,0.5875,0.29375,0.6146954723427909
Chicago Fizz,6,4.67,3.0256620200102105,0.6000000000000001,0.12847965738758033,0.19830370875263037
Chocolate Beverage,4,54.17,2.266064973499378,0.0,0.0,0.0
Chocolate Black Russian,3,6.5,1.6606990022330377,0.35,0.05384615384615384,0.2107546277377038
Chocolate Drink,3,30.77,0.6417578125000001,0.0,0.0,0.0
Chocolate Milk,3,1.52,2.0617578125,0.11549999999999999,0.07598684210526316,0.05602015876925409
Chocolate Monkey,8,17.83,3.582369791666667,0.6749999999999999,0.03785754346606843,0.18842275902677316
Citrus Coke,2,3.0,0.5346875,0.4,0.13333333333333333,0.7481005260081824
City Slicker,3,3.0,1.4967118644067798,0.7749999999999999,0.2583333333333333,0.5178017348764522
Classic Old-Fashioned,6,6.23,4.0875,1.2240000000000002,0.19646869983948637,0.2994495412844037
Clove Cocktail,3,2.0,2.2759477928274285,0.47500000000000003,0.23750000000000002,0.2087042600436382
Clover Club,4,3.33,2.4436009615384613,0.75,0.22522522522522523,0.30692408940934823
Cocktail Horse’s Neck,4,5.74,4.375583726415094,0.544,0.09477351916376307,0.1243262691365977
Coffee Liqueur,5,79.0,2.3005510350272873,12.8,0.1620253164556962,5.563884393396288
Coffee-Vodka,6,49.5,2.8305510350272876,4.800000000000001,0.09696969696969698,1.6957828848875451
Coke and Drops,2,3.3899999999999997,0.13739936440677963,0.0,0.0,0.0
Corn n Oil,5,2.87,4.077500000000001,0.8655,0.3015679442508711,0.21226241569589208
Corpse Reviver,5,3.02,4.92571186440678,0.6345,0.21009933774834436,0.12881386842476522
Cosmopolitan,4,3.75,1.6021036049989659,0.475,0.12666666666666665,0.2964851951633344
Cosmopolitan Martini,4,2.2,1.8245566999731508,0.47500000000000003,0.2159090909090909,0.26033720958465684
Cranberry Cordial,3,59.91,1.36,6.764,0.11290268736437992,4.973529411764706
Cranberry Punch,5,140.5,1.268682657384988,0.0,0.0,0.0
Cream Soda,2,2.0,0.5346875,0.4,0.2,0.7481005260081824
Creme de Menthe,5,129.5,3.131832259255651,15.2,0.11737451737451737,4.853388924352103
Cuba Libra,4,5.25,0.8826875,0.9,0.17142857142857143,1.0196133965871275
Cuba Libre,3,3.5,0.8646875,0.8,0.2285714285714286,0.9251897361763642
Daiquiri,3,2.17,1.36,0.6000000000000001,0.2764976958525346,0.44117647058823534
Damned if you do,2,1.0,0.964,0.30000000000000004,0.30000000000000004,0.31120331950207475
Danbooka,2,4.0,1.359,0.95,0.2375,0.6990434142752023
Dark Caipirinha,3,3.83,1.375,1.075,0.2806788511749347,0.7818181818181817
Dark and Stormy,2,5.07,0.5346875,0.676,0.13333333333333333,1.2642898889538283
Darkwood Sling,4,7.0,1.3827729228785282,0.24,0.03428571428571429,0.17356428957286082
Death in the Afternoon,2,4.0,2.3763769773203736,1.92,0.48,0.8079526179238662
Derby,3,2.4699999999999998,3.4142061994609163,1.031,0.4174089068825911,0.3019735598168584
Diesel,3,16.02,1.2027118644067796,0.403,0.025156054931335832,0.33507609921082304
Dirty Martini,5,5.87,2.6518448355663713,1.0230000000000001,0.17427597955706986,0.38576917709497566
Downshift,4,6.5,1.2970866734109396,1.4000000000000001,0.2153846153846154,1.0793419042063166
Dragonfly,3,6.5,1.1526875,0.75,0.11538461538461539,0.6506533644201051
Drinking Chocolate,6,12.3,2.472685836421833,0.0,0.0,0.0
Dry Martini,3,3.0,2.318,0.8845,0.29483333333333334,0.381578947368421
Dry Rob Roy,3,2.82,3.8299999999999996,1.7875,0.6338652482269505,0.4667101827676241
Dubonnet Cocktail,4,2.34,3.6525000000000003,0.668,0.2854700854700855,0.18288843258042436
Duchamp's Punch,7,4.11,6.627624263328613,0.8192,0.19931873479318735,0.12360386881506324
